HORSE,SIRE,DAM,DAMSIRE,LOC,TRAINER,OWNER,BREEDER
Opportunistic,Sky Mesa,Mona Quita,El Corredor,KY,Jerry Hollendorfer,"Mark DeDomenico LLC and North American Thoroughbred Horse Company, Inc.","Sassu LLC, Philip Robertson & Brenda Robertson"
Oregon,Mizzen Mast,Way to Go,Gone West,KY,John Shirreffs,"Moss, Mr. and Mrs. Jerome S.",St. George Farm LLC
Ossetra,Into Mischief,Tussie,Kris S.,OH,Bob Baffert,Michael Lund Petersen,Ryan S. Conboy & Bedell S. Conboy
Outwork,Uncle Mo,Nonna Mia,Empire Maker,KY,Todd Pletcher,Repole Stable,Repole Stable Inc
Path of David,Istan,Rimini Road,Dynaformer,KY,Kristin Mulhall,"Thrash, Ike, Thrash, Dawn, Alley, Janet and Alley, Sam",Brereton C. Jones
Patton Proud,Eskendereya,Elusive Horizon,Elusive Quality,KY,Steven Asmussen,Jerry Durant,Northwest Farms LLC
Percolator,Flashy Bull,Lady Rushmoore,Wild Rush,KY,John Servis,Main Line Racing Stable and Joshtylane Farm,Charles H. Deters
Perfect Parade,Parading,Aesculus,Horse Chestnut (SAF),NY,Pavel Matejka,Preston Stables LLC,Anita Nesser
Perfect Saint,Pleasantly Perfect,Santa Gertrudis (IRE),Machiavellian,KY,Dale Romans,Calumet Farm,Calumet Farm
Picadilly Roadster,Ghostzapper,Stormy Dixie,Stormy Atlantic,KY,Marcus Vitali,Crossed Sabres Farm,Colts Neck Stables LLC
Pinnacle Peak,Yes It's True,Charlie Girl,Indian Charlie,KY,Michael Stidham,Mark D. Breen,Mark Breen
Pinson,Majestic Warrior,Celtic Song,Giant's Causeway,FL,Michael Maker,"Ramsey, Kenneth L. and Sarah K.",Bonnie Heath Farm LLC
Pinstripe,High Cotton,My Friend Melini,Trippi,FL,Todd Pletcher,Eclipse Thoroughbred Partners,Marion G. Montanari
Prime Time Man,Zensational,Baroness Aamoura,Theatrical (IRE),KY,D. Wayne Lukas,"Zayat Stables, LLC",Zayat Stables LLC
Prospectus,Uncle Mo,Ready Willing Abel,More Than Ready,KY,Todd Pletcher,Siena Farm LLC,Katierich Farms
Quijote,Pomeroy,Soi Distant,Holy Bull,FL,Thomas Amoss,"Midwest Thoroughbreds, Inc.",Ramiro Rosas Medina
Ralis,Square Eddie,Silar Rules,Ten Most Wanted,CA,Doug O'Neill,Reddam Racing LLC,Reddam Racing LLC
Rally Cry,Uncle Mo,Alienated,Gone West,KY,Todd Pletcher,"Paul S. Pompa, Jr.",White Fox Farm
Rated R Superstar,Kodiak Kowboy,Wicked Wish,Gold Case,KY,Kenneth McPeek,Radar Racing LLC,ThornDale Stable LLC
Ready Dancer,More Than Ready,Sweettrickydancer,Green Dancer,KY,Todd Pletcher,Let's Go Stable,St. George Farm LLC & Spurrmont LLC
Realm,Haynesfield,Shawness Country,Chief's Crown,VA,Barclay Tagg,"Dattner, Eric, Tagg, Barclay and Astarita, Harry",Morgan's Ford Farm
Remesses,Pioneerof the Nile,Weight No More,Pure Prize,FL,Bob Baffert,Fog City Stable,Milan Kosanavich & Machmer Hall
Richie the Bull,Benny the Bull,Richiesgirlgotgame,Five Star Day,IL,Joan Scott,Richie's Usual Suspect,Richard Ravin & Larry Rivelli
Riddler,Harlan's Holiday,Rhapsody Queen,Unbridled's Song,KY,Todd Pletcher,Siena Farm LLC,Siena Farms LLC
Riker,Include,Desviacion,Unreal Zeal,KY,Nicholas Gonzalez,Tucci Stables,Turner Breeders
Rolling Tizway,Tizway,Rolling Sea,Sefapiano,KY,Eddie Kenneally,"Chenvert, Brian, Hayes, Christian and Kenneally, Eddie",Spendthrift Farm LLC
Royal Obsession (f),Tapit,Rote,Tiznow,KY,Steven Asmussen,Stonestreet Stables LLC,Marbat LLC
Safe Passage,Congrats,Northern Station,Street Cry (IRE),KY,William Mott,WinStar Farm LLC,Tommy Town Thoroughbreds LLC
Sail Ahoy,Bernardini,Matlacha Pass,Seeking the Gold,KY,Claude McGaughey III,Phipps Stable,Phipps Stable
Saint Ignatius,Macho Uno,I Love America,Quiet American,KY,Dallas Stewart,G M B Racing,Forging Oaks LLC
Saltini,Bernardini,Salt Champ (ARG),Salt Lake,KY,Richard Mandella,"Diamond A Racing Corporation and Vargas, Arturo",Diamond A Racing Corp & Arturo Vargas
Sam Missile (IRE),Smart Strike,Kitty Matcham (IRE),Rock of Gibraltar (IRE),IRE,James Fanshawe,Apple Tree Stud,Barronstown Stud
Saratoga Mischief,Into Mischief,Pacific Destiny,Mr. Greeley,KY,Todd Pletcher,"Twin Creeks Racing Stables, LLC",Meritage LLC & Angelo Ferro
Sawyers Mickey,Flatter,Mrs. Debbie M,War Chant,OH,Steven Asmussen,Whispering Oaks Farm LLC,Susan King
Scholar Athlete,Einstein (BRZ),Creme Catalan,El Prado (IRE),ON,H. Graham Motion,West Point Thoroughbreds,Adena Springs
Sea Wizard,Uncle Mo,Sea Road,Tale of the Cat,KY,John Mazza,Mac Nichol,"R. Alex Rankin, R. Lenihan & P. Leni"
Seeking Blame,Blame,Title Seeker,Monarchos,KY,Dallas Stewart,Charles E. Fipke,Charles Fipke
Seeking the Soul,Perfect Soul (IRE),Seeking the Title,Seeking the Gold,KY,Dallas Stewart,Charles E. Fipke,Charles Fipke
Semper Fortis,Distorted Humor,Rebridled Dreams,Unbridled's Song,KY,Doug O'Neill,Reddam Racing LLC,Coffeepot Stable
Sensational Ride,Dunkirk,Commendable Girl,Commendable,GA,Bobby Barnett,Dennis Morgan,Dennis Ralph Morgan
Seymourdini,Bernardini,Graeme Six,Graeme Hall,KY,Linda Rice,Iris Smith Stable,Besilu Stables LLC
Shagaf,Bernardini,Muhaawara,Unbridled's Song,KY,Chad Brown,Shadwell Stable,Shadwell Farm LLC
Shakhimat,Lonhro (AUS),Reggae Rose,Touch Gold,ON,Roger Attfield,Dan Gale,Adena Springs
Siding Spring,Warrior's Reward,Legendary Peace,Peace Rules,KY,Mark Casse,Gabe Grossberg,Doug Branham & Felicia Branham
Sightforsoreeyes,Sightseeing,Rush to Glory,Wild Rush,KY,Doug Anderson,"Wetzel, Arthur and Anderson, Doug",Richland Hills Stallions LLC & Willow Lane Stable
Singleton,Malibu Moon,Miss Audrey,Grand Slam,KY,Nicholas Zito,Mossarosa,WinQuest Thoroughbreds LLC
Smokey Image,Southern Image,Special Smoke,Free House,CA,Carla Gaines,Irvin Racing Stable,C-Punch Ranch Inc
Snow Fighter,Candy Ride (ARG),Aspen Light,Bernardini,KY,"James Lawrence, II",Matthew Schera,Stonestreet Thoroughbred Holdings LLC
Somesville,Malibu Moon,Quiet Harbor,Silver Deputy,KY,Claude McGaughey III,"Stuart S. Janney, III",Stuart S. Janney III LLC
Sorryaboutnothing,Repent,Royal Card,Chapel Royal,FL,Doug O'Neill,"Fog City Stable, RAP Racing, ERJ Racing, LLC and Dave Kenney",Woodford Thoroughbreds
Sound the Horns,Include,Nancy G.,Fusaichi Pegasus,KY,H. Graham Motion,West Point Thoroughbreds,Elizabeth Southam
Southern Pharaoh,Pioneerof the Nile,Miss Special Salsa,Mr. Greeley,KY,Bob Baffert,Calumet Farm,Dr. J. David Richardson
Southside Warrior,Warrior's Reward,Bamba,Not for Love,MD,Mark Casse,"Poston, Bill, Poston, Vicki and Smith, James Brad",Dark Hollow Farm
Southwest Trail,Uncle Mo,Eagle Sound,Fusaichi Pegasus,KY,Anthony Dutrow,"Shortleaf Stable, Inc.","Gabriel Duignan, Crosshaven Bloodstock & Vision Thoroughbreds"
Speed Check,Point Given,Accelero,Dynaformer,KY,Bob Baffert,Calumet Farm,Calumet Farm
Spikes Shirl,Speightstown,Shirl's Soul,Perfect Soul (IRE),KY,Dallas Stewart,Charles E. Fipke,Charles Fipke
Star Hill,Elusive Quality,Padmore,French Deputy,KY,"George Arnold, II",Calumet Farm,Calumet Farm
Start a War,Grand Slam,Jabber Dabber Doo,Pleasant Tap,IL,W. Bret Calhoun,Knollwood Stables,Dana Waier Thoroughbreds LLC
Stone,Quality Road,Stone Legacy,Birdstone,KY,Nicholas Zito,Marylou Whitney Stables LLC,Marylou Whitney Stables LLC
Stormin In,Smart Strike,My Miss Storm Cat,Sea of Secrets,KY,"Edward Plesa, Jr.",Live Oak Plantation,Stonestreet Thoroughbred Holdings LLC
Stradivari,Medaglia d'Oro,Bending Strings,American Chance,KY,Todd Pletcher,John D. Gunther,John D. Gunther
Street Vision,Street Sense,Emmy's Storm,Stormy Atlantic,KY,Mark Glatt,"Norman Stables, LLC and Wagner, Cory",Affirmed Investment Corp
Sudden Surprise,Giant Surprise,Ready and Good,More Than Ready,NY,Todd Pletcher,Repole Stable,Repole Stable Inc
Suddenbreakingnews,Mineshaft,Uchitel,Afleet Alex,KY,Donnie Von Hemel,Samuel F. Henderson,Branch Equine LLC
Sunny Ridge,Holy Bull,Lignum Vitae,Songandaprayer,NJ,Jason Servis,Dennis A. Drazin,Dennis Drazin
Surgical Strike,Red Giant,Preemptive Attack,Smart Strike,KY,Ben Coleman,"Seltzer, Edward A. and Anderson, Beverly S.",Edward A. Seltzer & Beverly Anderson
Swagger Jagger,Crown of Thorns,Magical Mist,Congaree,FL,Michael Maker,"Warner Thoroughbreds, Lewis, III, Lewis, Setzer, Setzer et al.",Woodford Thoroughbreds
Swipe,Birdstone,Avalanche Lily,Grand Slam,KY,Keith Desormeaux,"Big Chief Racing, LLC, Fizzy Racing LLC, Rocker O Ranch, LLC, Desormeaux et al.",Lou Oppenheim
Synchrony,Tapit,Brownie Points,Forest Wildcat,KY,Donnie Von Hemel,Pin Oak Stable,Pin Oak Stud LLC
Tale of Mist,Tale of Ekati,Settling Mist,Pleasant Colony,KY,Barclay Tagg,Charles E. Fipke,Charles Fipke
Tale of S'avall,Tale of Ekati,S'Avall,Awesome Again,KY,Barclay Tagg,Charles E. Fipke,Charles Fipke
Tally,Tale of Ekati,Charlie Papa,Indian Charlie,KY,Pavel Matejka,Preston Stables LLC,Susan M. Forrester & 4M Ranch
Tarpon Bay Road,Tapit,Pretty Prolific,Lion Heart,KY,James Baker,Tom R. Walters,Tom Walters
Tasit,Tapit,Fantasia (GB),Sadler's Wells,PA,Michael Matz,Augustin Stable,George Strawbridge Jr.
Tathqeef,Tapit,Foxy Danseur,Mr. Greeley,KY,John Gosden,Shadwell Stable,Clearsky Farms
Ten Blessings,Smart Strike,Indian Blessing,Indian Charlie,KY,Bob Baffert,"Earnhardt III, Patti and Hal J.",Hal Earnhardt
That Makes Sense,Street Sense,Useewhatimsaying,A.P. Indy,KY,D. Wayne Lukas,"Baker, Robert C. and Mack, William L.",Equine Equity Partners LLC
The Big Mo,Uncle Mo,Gentle Words,Bertrando,ON,Anthony Dutrow,"Lieblong, Alex and JoAnn",Josham Farms Limited
The Chinaman,Haynesfield,Bearusa,Precise End,KY,Peter Miller,Rockingham Ranch,Bill Adair & Phyliss Adair
The Last Rep,Pleasantly Perfect,Penne Ala Capaese,Unbridled,KY,"Jose Gonzalez, Jr.",Kenneth Corazza,Kenneth L. Corazza
The Lieutenant,Street Sense,Stage Magic,Ghostzapper,KY,Michael McCarthy,"Warren, Jr., Mr. and Mrs. William K.",John D. Gunther
Thirdhalf,Birdstone,Half a Surprise,A.P. Indy,KY,Gary Mandella,Wertheimer and Frere,Wertheimer et Frere
Thunder Pass,Street Sense,Mari's Thunder,Thunder Gulch,KY,Michael Trombetta,"Meyerhoff, Harry C. and Tom O.",B. Flay Thoroughbreds
Time Will Tell,Malibu Moon,What Time Is It,Partner's Hero,MD,Jena Antonucci,Gallostables,R. Larry Johnson
Tiznoble,Tiznow,Tamboz,Tapit,KY,Joe Sharp,Dell Ridge Farm LLC,Dell Ridge Farm LLC
Toews On Ice,Archarcharch,Wild Forest Cat,D'wildcat,KY,Bob Baffert,"Watson, Karl, Pegram, Michael E. and Weitman, Paul",Lakland Farm
Tom's Ready,More Than Ready,Goodbye Stranger,Broad Brush,PA,Dallas Stewart,G M B Racing,Blackstone Farm LLC
Torrontes,Macho Uno,Airizon,Boston Harbor,KY,Kellyn Gorder,"Beckett Racing Team and Thornton, David",Crumbaugh Lane LLC
Toughest 'Ombre,Tale of the Cat,True Sensation,Itaka,MD,Thomas Albertrani,Hickory Plains,Randy L. Cohen & Alyse L. Cohen
Tour de Force,Tiznow,Dream Supreme,Seeking the Gold,KY,Mark Casse,John C. Oxley,Kinsman Farm
Triple Creek,Hat Trick (JPN),Lady Lyra,Storm Creek,KY,Michael Maker,"Ramsey, Kenneth L. and Sarah K.",Sanford R. Robertson
Trojan Nation,Street Cry (IRE),Storm Song,Summer Squall,KY,Patrick Gallagher,"Gilbert, Julie and Sones, Aaron",Dr. Aaron Sones
True Solitaire (IRE),Oasis Dream (GB),Majestic Silver (IRE),Linamix (FR),IRE,Dermot Weld,Moyglare Stud Farm,Moyglare Stud Farm LTD
Turulu,Eskendereya,Salty Farma,Salt Lake,KY,Victor Garcia,Juan J. Garcia,Stonestreet Thoroughbred Holdings LLC
Twenty Four Seven,City Zip,Here Comes Amelia,War Chant,KY,Roger Brueggemann,"Midwest Thoroughbreds, Inc.",Richard Maynard
Twirling,Candy Ride (ARG),Cat Charmer,Storm Cat,KY,Bob Baffert,"Juddmonte Farms, Inc.",Courtlandt Farm
Twizz,Twirling Candy,Lively Ballad,Saint Ballado,KY,Michael Maker,"Warner Thoroughbreds, Lewis, III, Lewis, Setzer, Setzer et al.",Archie Barnes & Wood Simpson
Unbridled Outlaw,Unbridled's Song,Letgomyecho,Menifee,KY,Dale Romans,Albaugh Family Stable,"Betz, Blackburn, J. Betz, Ramsby & CNHHNK"
Uncle Guy,Uncle Mo,Dying to Dance,Street Cry (IRE),KY,Michael Maker,"Ramsey, Kenneth L. and Sarah K.",Rose Hill Farm & Ralph Stroope
Uncle Jerry,Uncle Mo,Our Dani,Homebuilder,KY,Eoin Harty,"Harty, Eoin G., Auerbach, Robert and Yarmuth, William",Eagle Holdings
Uncle Lino,Uncle Mo,Haysee,Orientate,KY,Gary Sherlock,"Mansor, Tom, Purple Shamrock Racing and Sherlock, Gary",JPR Stable LLC
Uncle Walter,Uncle Mo,Look for Good,Unbridled's Song,KY,Michael Maker,"Ramsey, Kenneth L. and Sarah K.",Lantern Hill Farm
Undeniable U,Red Giant,Naseem,Point Given,KY,Bob Baffert,"Mojallali Stables, Inc.",Mojallali Stables Inc
Unexplained,Ghostzapper,Alex's Ali,Afleet Alex,KY,Chris Richard,"Midwest Thoroughbreds, Inc.",Brandywine Farm & Adena Springs
Unified,Candy Ride (ARG),Union City,Dixie Union,KY,James Jerkens,Centennial Farms,Blue Devil Racing Stable LLC
Urban Bourbon,City Zip,Fools in Love,Not for Love,KY,Eddie Kenneally,Bourbon Lane Stable,K & G Stables
Urlacher,Discreet Cat,Perceive,A.P. Indy,KY,Eoin Harty,Godolphin Racing LLC,Darley
Valiant Minister,Candy Ride (ARG),Spooky Minister,Deputy Minister,KY,Bob Baffert,Baoma Corporation,Hill n Dale Equine Holdings Inc
Van Damme,Langfuhr,Pacific Jewel,Seeking the Gold,KY,Robert Gorham,Mast Thoroughbreds LLC,William B. Harrigan
Victory Arch,Archarcharch,Toasty,Polish Numbers,KY,Scott Geiner,"Norman, Mark and Norman Stables LLC",Dreamtime Stables LLC
Virtual Machine,Drosselmeyer,Critikal Reason,Aptitude,KY,Joe Sharp,Serjeant Equine,Farfellow Farms LTD
Viva La Kid,Lemon Drop Kid,As a Day in June,Fly So Free,KY,John Servis,Carguys Racing LLC,John R. Mulholland & Martha Jane Mulholland
Vorticity,Distorted Humor,Tar Heel Mom,Flatter,KY,"James Lawrence, II",Matthew Schera,Upson Downs Farm & WinStar Farm LLC
Vulcan's Forge,Giant's Causeway,Possibly a Ten,Seeking the Gold,KY,Todd Pletcher,"Heiligbrodt, L. William, Heiligbrodt, Corinne and Team Valor International","Gabriel Duignan, Crosshaven Bloodstock & Petaluma Bloodstock"
Walk Out,Curlin,Cheryl's Sister,Dixieland Band,KY,Steven Asmussen,Calumet Farm,Cardinal Farm LLC
Westfest,Unbridled's Song,Dr. Zic,Milwaukee Brew,KY,Bob Baffert,"West, Gary and Mary",SF Bloodstock
Wheels Up Now,Smart Strike,First Passage,Giant's Causeway,KY,Thomas Albertrani,West Point Thoroughbreds and Chester Thoroughbreds LLC,AR Enterprises LLC
Whipsaw,Drosselmeyer,Forest Jazzy,Forestry,KY,Michael Maker,"Ramsey, Kenneth L. and Sarah K.",Dividing Ridge Farm & Strongheart Farm
Whitmore,Pleasantly Perfect,Melody's Spirit,Scat Daddy,KY,Ron Moquett,"LaPenta, Robert V., Rosenblum, Harry T. and Southern Springs Stables",John Liviakis
Who's Out,Tale of Ekati,Shine Forth,Carson City,KY,Jerry Hollendorfer,"Hollendorfer, Jerry and M Racing",John R. Penn
Wild About Deb,Eskendereya,Smarty Deb,Smart Strike,KY,Philip D'Amato,Marisa Lizza Racing,Northwest Farms LLC
Williamsburg,Too Much Bling,La Petite Justice,Lit de Justice,LA,Scott Lake,Tigertail Ranch,Tigertail Ranch
Wine Not,First Dude,Simmerette,El Prado (IRE),NY,Thomas Albertrani,West Point Thoroughbreds,Frank Hopewell & Runner's Dream Farm
Z Royal,Eskendereya,Joanne Jubilation,Monarchos,KY,D. Wayne Lukas,"Zayat Stables, LLC",Zayat Stables LLC
Zapperini,Ghostzapper,Bobby's Babe,Smart Strike,KY,Greg Foley,"Lloyd Madison Farms, IV LLC","Lloyd Madison IV, LLC"
Ziconic,Tapit,Zenyatta,Street Cry (IRE),KY,John Shirreffs,"Moss, Mr. and Mrs. Jerome S.",Mr. and Mrs. J. S. Moss
Zulu,Bernardini,Temporada,Summer Squall,KY,Todd Pletcher,"Stonestreet Stables LLC, Magnier, Susan., Tabor, Michael B. and Smith, Derrick",Ron Magers & Ronald Marcocchio
Zulu Alpha,Street Cry (IRE),Zori,A.P. Indy,KY,Dermot Weld,Calumet Farm,Calumet Farm