Horse,Owner,Trainer,Breeder
Bulletin,"WinStar Farm, China Horse Club, & SF Racing",Todd A. Pletcher,CresRan
Its Gonna Hurt,"Janet Lyons , Evan Trommer, Andrew Trommer, & Matthew Trommer",Brian J. Koriner,"Jason Hall, Jeff Neese, & Jimmy Clanin"
Pocket Dynamo,Phoenix Thoroughbreds,Robert Cowell,Jocelyn Shutkas
Queen of Bermuda (IRE),Bermuda Thorougbred Racing,William John Haggas,Rabbah Bloodstock Limited
Sergei Prokofiev,"Derrick Smith, Mrs. John Magnier, & Michael Tabor",Aidan P. O'Brien,Anderson Farms (Ontario)
Shang Shang Shang,Breeze Easy,Wesley A. Ward,Kris R. Del Giudice
So Perfect,"Derrick Smith, Mrs. John Magnier, & Michael Tabor",Aidan P. O'Brien,Machmer Hall
Soldier's Call (GB),Clipper Logistics,Archie Watson,Llety Farms
Stillwater Cove,Marcus Stables,Wesley A. Ward,Lofts Hall Stud & Ben Sangster
Strike Silver,John C. Oxley,Mark E. Casse,Lantern Hill Farm
Uncle Benny,Beach Haven Thoroughbreds,Jason Servis,Peter Magnier
Well Done Fox (GB),King Power Racing Co.,Richard Hannon,Crossfields Bloodstock
,,,
Not selected into the field and listed in order of preference by the Breeders' Cup Racing Directors/Secretaries Panel:,,,
,,,
Chelsea Cloisters,Hat Creek Racing,Wesley A. Ward,Alastar Thoroughbred Co.
Moonlight Romance,Kenneth L. and Sarah K. Ramsey,Wesley A. Ward,Spendthrift Farm
Big Drink of Water,Patricia's Hope Stable,Larry Rivelli,Woodford Thoroughbreds
Comedy (IRE),Mrs. Marlene Brody,Karl Burke,John Hutchinson
Van Beethoven,"Derrick Smith, Mrs. John Magnier, & Michael Tabor",Aidan P. O'Brien,Ballycroy Training Centre
Legends of War,Qatar Racing,John H.M. Gosden,DP Racing
Stellar Agent,"Madaket Stables, Steve Laymon, Martin F. Scheinman, & Roger P. Kaplan",Jorge R. Abreu,"Hargus Sexton, Sandra Sexton, & Silver Fern Farm"
Whooping Jay,Reddam Racing,Doug F. O'Neill,Reddam Racing
Mae Never No (IRE),Ice Wine Stable,Wesley A. Ward,Ice Wine Stable
Backtohisroots,Gatsas Stables,John P. Terranova II,Brereton C. Jones
Never No More (IRE),"Michael Tabor, Derrick Smith, & Mrs. John Magnier",Aidan P. O'Brien,Rjb Bloodstock
Tracksmith,Calumet Farm (Brad Kelly),Joe Sharp,Cobalt Investments & Godolphin
Dragic,Steven Michael Bell,Wesley A. Ward,"Betz, J. Betz, Burns, CHNNHK Thoroughbreds, Magers, CoCo Equine, & Ramsby"
Order and Law,Bran Jam Stables & David W. Clark,Louis Linder Jr.,Dell Ridge Farm
Sovereign Impact,Brook T. Smith Investments,William J. Denzik Jr.,Douglas Arnold & Rob Auerbach
All About It,R. A. Hill Stable & John Schutte,George Weaver,Duncan Lloyd