Distance,Course,# Races,Average Field Size,Average Winner $1  Odds,Average $2 Win,# Winning Favs,% Winning Favs
5 1/2f,Turf,59,8.85,$4.88,$11.77,20,33.90%
6f,Dirt,58,7.59,$4.50,$10.99,18,31.03%
7f,Dirt,50,7.78,$4.93,$11.86,16,32.00%
1 1/8m,Dirt,49,6.24,$3.12,$8.23,23,46.94%
1m,Inner Turf,37,9.49,$6.59,$15.17,7,18.92%
6 1/2f,Dirt,35,8.06,$7.18,$16.35,12,34.29%
1 1/16m,Inner Turf,31,9.71,$5.69,$13.38,9,29.03%
1 1/16m,Turf,27,9.67,$6.21,$14.42,10,37.04%
5 1/2f,Dirt,18,8.06,$4.89,$11.79,5,27.78%
1 3/8m,Inner Turf,11,8.36,$4.60,$11.21,5,45.45%
1 3/16m,Turf,8,8.88,$10.02,$22.05,0,0.00%
1 1/8m,Turf,6,8.17,$9.38,$20.75,2,33.33%
1 1/2m,Inner Turf,3,6.33,$5.98,$13.97,1,33.33%
1 1/4m,Dirt,2,10.5,$5.20,$12.40,0,0.00%
1 1/8m,Inner Turf,1,12,$0.35,$2.70,1,100.00%
1 3/4m,Dirt,1,7,$1.05,$4.10,1,100.00%
1 5/8m,Turf,1,6,$2.30,$6.60,1,100.00%